Template_ID,Template_Name,Image_URL,Mood,Fonts_List,Text_Placement_X,Text_Placement_Y,Text_Alignment,Max_Width,Font_Size_Range,Text_Color,Outline_Color,Shadow_Settings,Rotation
1,"rose, plastic bag, banana, recycle, carry away, lift.png",https://drive.google.com/file/d/1Syl12BfkzzzpGL_r8xQdwbNwmlY3Nj6a/view?usp=drive_link,"friendly, happy, friendship, help","""traditional chinese , output traditional chinese: Huninn / LXGW Marker Gothic / WDXL Lubrifont TC
 

 simplified chinese , output simplified chinese: LXGW Marker Gothic / ZCOOL XiaoWei / WDXL Lubrifont SC / ZCOOL KuaiLe / Cactus Classical Serif
 

 Japanese, output Japanese: WDXL Lubrifont JP N / Dela Gothic One / Potta One 4.UoqMunThenKhung 5. Hachi Maru Pop 6. Yuji Mai / Rampart One / DotGothic16 / Mochiy Pop P One  
 

 Englsh: Ranchers, Rampart One, Spicy Rice, climate crisis, Ultra, homemade apple, DotGothic16, Permanent Marker, Rock Salt
 Bangers,Chewy,Luckiest Guy,Titan One""",0.55,0.05,center,0.9,60-75,#15BDE8 / #F987E0 / gradient,none,,-8
2,"crowded, mess, chaotic.png",https://drive.google.com/file/d/14nuz-lvHfoSIpnG1e3-DBaXYRmLxvi12/view?usp=sharing,"friendly, crowded, team, trash, chaotic","""traditional chinese , output traditional chinese: Huninn / LXGW Marker Gothic / WDXL Lubrifont TC
 

 simplified chinese , output simplified chinese: LXGW Marker Gothic / ZCOOL XiaoWei / WDXL Lubrifont SC / ZCOOL KuaiLe / Cactus Classical Serif
 

 Japanese, output Japanese: WDXL Lubrifont JP N / Dela Gothic One / Potta One 4.UoqMunThenKhung 5. Hachi Maru Pop 6. Yuji Mai / Rampart One / DotGothic16 / Mochiy Pop P One  
 

 Englsh: Ranchers, Rampart One, Spicy Rice, climate crisis, Ultra, homemade apple, DotGothic16, Permanent Marker, Rock Salt
 Bangers,Chewy,Luckiest Guy,Titan One""",0.15,0.05,center,0.9,75,Gradient / #201E1F / #853278,#000000,2px black shadow,-5 / 0 / 5
3,"clueless, deparate, depair, make up, hazart.png",https://drive.google.com/file/d/1DY7fYE2FRB-nfmfFjMf5nc2sC1hxkXRg/view?usp=sharing,"clueless, desparate, despair, make up, hazard","""traditional chinese , output traditional chinese: Huninn / LXGW Marker Gothic / WDXL Lubrifont TC
 

 simplified chinese , output simplified chinese: LXGW Marker Gothic / ZCOOL XiaoWei / WDXL Lubrifont SC / ZCOOL KuaiLe / Cactus Classical Serif
 

 Japanese, output Japanese: WDXL Lubrifont JP N / Dela Gothic One / Potta One 4.UoqMunThenKhung 5. Hachi Maru Pop 6. Yuji Mai / Rampart One / DotGothic16 / Mochiy Pop P One  
 

 Englsh: Ranchers, Rampart One, Spicy Rice, climate crisis, Ultra, homemade apple, DotGothic16, Permanent Marker, Rock Salt
 Bangers,Chewy,Luckiest Guy,Titan One""",0.15,0.05,center,0.9,70-90,#2A0031 / #F987E0 / #F26522 / #853278 / gradient,none,none,-5 / 0 / 5
4,"clueless, can, squashed, metal.png",https://drive.google.com/file/d/1xjozoJcObn3-47TTrt6IYiBKdZV8bZlv/view?usp=sharing,"clueless, can, squashed, metal","""traditional chinese , output traditional chinese: Huninn / LXGW Marker Gothic / WDXL Lubrifont TC
 

 simplified chinese , output simplified chinese: LXGW Marker Gothic / ZCOOL XiaoWei / WDXL Lubrifont SC / ZCOOL KuaiLe / Cactus Classical Serif
 

 Japanese, output Japanese: WDXL Lubrifont JP N / Dela Gothic One / Potta One 4.UoqMunThenKhung 5. Hachi Maru Pop 6. Yuji Mai / Rampart One / DotGothic16 / Mochiy Pop P One  
 

 Englsh: Ranchers, Rampart One, Spicy Rice, climate crisis, Ultra, homemade apple, DotGothic16, Permanent Marker, Rock Salt
 Bangers,Chewy,Luckiest Guy,Titan One""",0.15,0.05,center,0.9,70-90,#2A0031 / #F987E0 / #F26522 / #853278 / gradient / #BE1E2D,#FF6B6B,4px red shadow,-5 / 0 / 5
5,template-33.png,https://drive.google.com/file/d/1rOtDdylVus5e1TFk_Lk92EovhI7lCkRg/view?usp=sharing,"Plastic, beautiful , confident","""traditional chinese , output traditional chinese: Huninn / LXGW Marker Gothic / WDXL Lubrifont TC
 

 simplified chinese , output simplified chinese: LXGW Marker Gothic / ZCOOL XiaoWei / WDXL Lubrifont SC / ZCOOL KuaiLe / Cactus Classical Serif
 

 Japanese, output Japanese: WDXL Lubrifont JP N / Dela Gothic One / Potta One 4.UoqMunThenKhung 5. Hachi Maru Pop 6. Yuji Mai / Rampart One / DotGothic16 / Mochiy Pop P One  
 

 Englsh: Ranchers, Rampart One, Spicy Rice, climate crisis, Ultra, homemade apple, DotGothic16, Permanent Marker, Rock Salt
 Bangers,Chewy,Luckiest Guy,Titan One""",0.6,0.05,center,0.9,60-75,#15BDE8 / #F987E0 / gradient,none / gradient,none,-8 / 0 / 8
6,template-29.png,https://drive.google.com/file/d/1xZVpuLfWSVaUXHqAXOYNLCSGNGnQMpBp/view?usp=sharing,"rebellious, angry","""traditional chinese , output traditional chinese: Huninn / LXGW Marker Gothic / WDXL Lubrifont TC
 

 simplified chinese , output simplified chinese: LXGW Marker Gothic / ZCOOL XiaoWei / WDXL Lubrifont SC / ZCOOL KuaiLe / Cactus Classical Serif
 

 Japanese, output Japanese: WDXL Lubrifont JP N / Dela Gothic One / Potta One 4.UoqMunThenKhung 5. Hachi Maru Pop 6. Yuji Mai / Rampart One / DotGothic16 / Mochiy Pop P One  
 

 Englsh: Ranchers, Rampart One, Spicy Rice, climate crisis, Ultra, homemade apple, DotGothic16, Permanent Marker, Rock Salt
 Bangers,Chewy,Luckiest Guy,Titan One""",0.6,0.05,center,0.9,60-75,#2A0031 / #F987E0 / #F26522 / #853278 / gradient / #BE1E2D,#000000,spray paint effect,-8 / 0 / 8
7,template-11.png,https://drive.google.com/file/d/10S6j6Bf7ziwUB1vPsDYReRt7TpWdlEFb/view?usp=sharing,sweet,"""traditional chinese , output traditional chinese: Huninn / LXGW Marker Gothic / WDXL Lubrifont TC
 

 simplified chinese , output simplified chinese: LXGW Marker Gothic / ZCOOL XiaoWei / WDXL Lubrifont SC / ZCOOL KuaiLe / Cactus Classical Serif
 

 Japanese, output Japanese: WDXL Lubrifont JP N / Dela Gothic One / Potta One 4.UoqMunThenKhung 5. Hachi Maru Pop 6. Yuji Mai / Rampart One / DotGothic16 / Mochiy Pop P One  
 

 Englsh: Ranchers, Rampart One, Spicy Rice, climate crisis, Ultra, homemade apple, DotGothic16, Permanent Marker, Rock Salt
 Bangers,Chewy,Luckiest Guy,Titan One""",0.1,0.05,center,0.9,38-65,Gradient / #201E1F / #853278, ,soft shadow,-8 / 0 / 8
8,template-17.png,https://drive.google.com/file/d/12zkDeYjQ2w3cdUp6fHO9xMRMVp4p75zy/view?usp=sharing,"comfortable, light, blue, baby, plastic bag, air, cloud, sleep","""traditional chinese , output traditional chinese: Huninn / LXGW Marker Gothic / WDXL Lubrifont TC
 

 simplified chinese , output simplified chinese: LXGW Marker Gothic / ZCOOL XiaoWei / WDXL Lubrifont SC / ZCOOL KuaiLe / Cactus Classical Serif
 

 Japanese, output Japanese: WDXL Lubrifont JP N / Dela Gothic One / Potta One 4.UoqMunThenKhung 5. Hachi Maru Pop 6. Yuji Mai / Rampart One / DotGothic16 / Mochiy Pop P One  
 

 Englsh: Ranchers, Rampart One, Spicy Rice, climate crisis, Ultra, homemade apple, DotGothic16, Permanent Marker, Rock Salt
 Bangers,Chewy,Luckiest Guy,Titan One""",0.48,0.04,center,0.55,120,#15BDE8, , ,-8 / 0 / 8
9,template-12.png,https://drive.google.com/file/d/1GT0cnkqWhg2rj3pzZXqKPvjHrb8gLsn1/view?usp=sharing,"enery, strong, courage, banana, baba, protect","""traditional chinese , output traditional chinese: Huninn / LXGW Marker Gothic / WDXL Lubrifont TC
 

 simplified chinese , output simplified chinese: LXGW Marker Gothic / ZCOOL XiaoWei / WDXL Lubrifont SC / ZCOOL KuaiLe / Cactus Classical Serif
 

 Japanese, output Japanese: WDXL Lubrifont JP N / Dela Gothic One / Potta One 4.UoqMunThenKhung 5. Hachi Maru Pop 6. Yuji Mai / Rampart One / DotGothic16 / Mochiy Pop P One  
 

 Englsh: Ranchers, Rampart One, Spicy Rice, climate crisis, Ultra, homemade apple, DotGothic16, Permanent Marker, Rock Salt
 Bangers,Chewy,Luckiest Guy,Titan One""",0.15,0.05,center,0.9,65-120,random / gradient,#000000 or none, ,-8 / 0 / 8
10,template-14.png,https://drive.google.com/file/d/1HqDhJzJcvMn3lVzv2M-vE2GsHREVyF1q/view?usp=sharing,"comfortable, light, blue, baby, plastic bag, air, cloud, sleep","""traditional chinese , output traditional chinese: Huninn / LXGW Marker Gothic / WDXL Lubrifont TC
 

 simplified chinese , output simplified chinese: LXGW Marker Gothic / ZCOOL XiaoWei / WDXL Lubrifont SC / ZCOOL KuaiLe / Cactus Classical Serif
 

 Japanese, output Japanese: WDXL Lubrifont JP N / Dela Gothic One / Potta One 4.UoqMunThenKhung 5. Hachi Maru Pop 6. Yuji Mai / Rampart One / DotGothic16 / Mochiy Pop P One  
 

 Englsh: Ranchers, Rampart One, Spicy Rice, climate crisis, Ultra, homemade apple, DotGothic16, Permanent Marker, Rock Salt
 Bangers,Chewy,Luckiest Guy,Titan One""",0.3,0.05,center,0.7,65-120,random / gradient,#000000 or none, ,-8 / 0 / 8
